"","ï..ID","MonthlyIncome"
"1",871,4497.30605358677
"2",872,3206.90583641037
"3",873,15140.6764705882
"4",874,4497.30605358677
"5",875,4497.30605358677
"6",876,4497.30605358677
"7",877,4497.30605358677
"8",878,4497.30605358677
"9",879,3206.90583641037
"10",880,15140.6764705882
"11",881,9990.38155767754
"12",882,4497.30605358677
"13",883,4497.30605358677
"14",884,4497.30605358677
"15",885,4497.30605358677
"16",886,4497.30605358677
"17",887,4497.30605358677
"18",888,4497.30605358677
"19",889,4497.30605358677
"20",890,2648.5268455245
"21",891,3206.90583641037
"22",892,9990.38155767754
"23",893,9990.38155767754
"24",894,4497.30605358677
"25",895,9990.38155767754
"26",896,9990.38155767754
"27",897,9990.38155767754
"28",898,15140.6764705882
"29",899,4497.30605358677
"30",900,3206.90583641037
"31",901,4497.30605358677
"32",902,4497.30605358677
"33",903,4497.30605358677
"34",904,4497.30605358677
"35",905,15140.6764705882
"36",906,4497.30605358677
"37",907,9990.38155767754
"38",908,4497.30605358677
"39",909,4497.30605358677
"40",910,3206.90583641037
"41",911,19044.95
"42",912,2648.5268455245
"43",913,4497.30605358677
"44",914,9990.38155767754
"45",915,4497.30605358677
"46",916,4497.30605358677
"47",917,3206.90583641037
"48",918,4497.30605358677
"49",919,4497.30605358677
"50",920,4497.30605358677
"51",921,4497.30605358677
"52",922,4497.30605358677
"53",923,4497.30605358677
"54",924,2648.5268455245
"55",925,15140.6764705882
"56",926,4497.30605358677
"57",927,4497.30605358677
"58",928,9990.38155767754
"59",929,4497.30605358677
"60",930,4497.30605358677
"61",931,4497.30605358677
"62",932,9990.38155767754
"63",933,9990.38155767754
"64",934,4497.30605358677
"65",935,4497.30605358677
"66",936,4497.30605358677
"67",937,9990.38155767754
"68",938,9990.38155767754
"69",939,3206.90583641037
"70",940,4497.30605358677
"71",941,4497.30605358677
"72",942,9990.38155767754
"73",943,9990.38155767754
"74",944,4497.30605358677
"75",945,4497.30605358677
"76",946,4497.30605358677
"77",947,4497.30605358677
"78",948,3206.90583641037
"79",949,2648.5268455245
"80",950,4497.30605358677
"81",951,3206.90583641037
"82",952,4497.30605358677
"83",953,4497.30605358677
"84",954,4497.30605358677
"85",955,4497.30605358677
"86",956,8141.60234961527
"87",957,9990.38155767754
"88",958,4497.30605358677
"89",959,9990.38155767754
"90",960,19044.95
"91",961,3206.90583641037
"92",962,3206.90583641037
"93",963,4497.30605358677
"94",964,2648.5268455245
"95",965,3206.90583641037
"96",966,19044.95
"97",967,3206.90583641037
"98",968,9990.38155767754
"99",969,15140.6764705882
"100",970,4497.30605358677
"101",971,4497.30605358677
"102",972,4497.30605358677
"103",973,4497.30605358677
"104",974,3206.90583641037
"105",975,4497.30605358677
"106",976,3206.90583641037
"107",977,4497.30605358677
"108",978,3206.90583641037
"109",979,9990.38155767754
"110",980,19044.95
"111",981,4497.30605358677
"112",982,9990.38155767754
"113",983,4497.30605358677
"114",984,4497.30605358677
"115",985,4497.30605358677
"116",986,3206.90583641037
"117",987,3206.90583641037
"118",988,4497.30605358677
"119",989,9990.38155767754
"120",990,3206.90583641037
"121",991,2648.5268455245
"122",992,3206.90583641037
"123",993,2648.5268455245
"124",994,4497.30605358677
"125",995,4497.30605358677
"126",996,3206.90583641037
"127",997,3206.90583641037
"128",998,15140.6764705882
"129",999,9990.38155767754
"130",1000,4497.30605358677
"131",1001,2648.5268455245
"132",1002,4497.30605358677
"133",1003,3206.90583641037
"134",1004,4497.30605358677
"135",1005,3206.90583641037
"136",1006,4497.30605358677
"137",1007,4497.30605358677
"138",1008,4497.30605358677
"139",1009,19044.95
"140",1010,4497.30605358677
"141",1011,9990.38155767754
"142",1012,3206.90583641037
"143",1013,4497.30605358677
"144",1014,4497.30605358677
"145",1015,4497.30605358677
"146",1016,4497.30605358677
"147",1017,4497.30605358677
"148",1018,9990.38155767754
"149",1019,9990.38155767754
"150",1020,3206.90583641037
"151",1021,4497.30605358677
"152",1022,4497.30605358677
"153",1023,3206.90583641037
"154",1024,9990.38155767754
"155",1025,15140.6764705882
"156",1026,19044.95
"157",1027,2648.5268455245
"158",1028,4497.30605358677
"159",1029,4497.30605358677
"160",1030,8141.60234961527
"161",1031,4497.30605358677
"162",1032,2648.5268455245
"163",1033,9990.38155767754
"164",1034,3206.90583641037
"165",1035,4497.30605358677
"166",1036,3206.90583641037
"167",1037,4497.30605358677
"168",1038,8141.60234961527
"169",1039,9990.38155767754
"170",1040,4497.30605358677
"171",1041,4497.30605358677
"172",1042,3206.90583641037
"173",1043,9990.38155767754
"174",1044,4497.30605358677
"175",1045,3206.90583641037
"176",1046,4497.30605358677
"177",1047,4497.30605358677
"178",1048,9990.38155767754
"179",1049,3206.90583641037
"180",1050,4497.30605358677
"181",1051,9990.38155767754
"182",1052,4497.30605358677
"183",1053,4497.30605358677
"184",1054,3206.90583641037
"185",1055,3206.90583641037
"186",1056,4497.30605358677
"187",1057,4497.30605358677
"188",1058,15140.6764705882
"189",1059,2648.5268455245
"190",1060,3206.90583641037
"191",1061,3206.90583641037
"192",1062,4497.30605358677
"193",1063,4497.30605358677
"194",1064,4497.30605358677
"195",1065,4497.30605358677
"196",1066,4497.30605358677
"197",1067,3206.90583641037
"198",1068,19044.95
"199",1069,4497.30605358677
"200",1070,4497.30605358677
"201",1071,4497.30605358677
"202",1072,4497.30605358677
"203",1073,4497.30605358677
"204",1074,4497.30605358677
"205",1075,4497.30605358677
"206",1076,15140.6764705882
"207",1077,19044.95
"208",1078,4497.30605358677
"209",1079,3206.90583641037
"210",1080,3206.90583641037
"211",1081,3206.90583641037
"212",1082,3206.90583641037
"213",1083,4497.30605358677
"214",1084,4497.30605358677
"215",1085,9990.38155767754
"216",1086,9990.38155767754
"217",1087,4497.30605358677
"218",1088,3206.90583641037
"219",1089,3206.90583641037
"220",1090,4497.30605358677
"221",1091,4497.30605358677
"222",1092,4497.30605358677
"223",1093,9990.38155767754
"224",1094,4497.30605358677
"225",1095,4497.30605358677
"226",1096,4497.30605358677
"227",1097,3206.90583641037
"228",1098,2648.5268455245
"229",1099,4497.30605358677
"230",1100,4497.30605358677
"231",1101,19044.95
"232",1102,4497.30605358677
"233",1103,4497.30605358677
"234",1104,9990.38155767754
"235",1105,3206.90583641037
"236",1106,3206.90583641037
"237",1107,3206.90583641037
"238",1108,2648.5268455245
"239",1109,4497.30605358677
"240",1110,4497.30605358677
"241",1111,4497.30605358677
"242",1112,9990.38155767754
"243",1113,9990.38155767754
"244",1114,4497.30605358677
"245",1115,9990.38155767754
"246",1116,3206.90583641037
"247",1117,4497.30605358677
"248",1118,4497.30605358677
"249",1119,9990.38155767754
"250",1120,4497.30605358677
"251",1121,9990.38155767754
"252",1122,15140.6764705882
"253",1123,3206.90583641037
"254",1124,15140.6764705882
"255",1125,3206.90583641037
"256",1126,4497.30605358677
"257",1127,4497.30605358677
"258",1128,4497.30605358677
"259",1129,15140.6764705882
"260",1130,4497.30605358677
"261",1131,9990.38155767754
"262",1132,15140.6764705882
"263",1133,4497.30605358677
"264",1134,4497.30605358677
"265",1135,4497.30605358677
"266",1136,4497.30605358677
"267",1137,4497.30605358677
"268",1138,4497.30605358677
"269",1139,9990.38155767754
"270",1140,15140.6764705882
"271",1141,4497.30605358677
"272",1142,4497.30605358677
"273",1143,9990.38155767754
"274",1144,4497.30605358677
"275",1145,2648.5268455245
"276",1146,4497.30605358677
"277",1147,4497.30605358677
"278",1148,4497.30605358677
"279",1149,3206.90583641037
"280",1150,4497.30605358677
"281",1151,3206.90583641037
"282",1152,4497.30605358677
"283",1153,3206.90583641037
"284",1154,4497.30605358677
"285",1155,4497.30605358677
"286",1156,15140.6764705882
"287",1157,4497.30605358677
"288",1158,3206.90583641037
"289",1159,3206.90583641037
"290",1160,4497.30605358677
"291",1161,3206.90583641037
"292",1162,9990.38155767754
"293",1163,4497.30605358677
"294",1164,9990.38155767754
"295",1165,3206.90583641037
"296",1166,4497.30605358677
"297",1167,9990.38155767754
"298",1168,4497.30605358677
"299",1169,3206.90583641037
"300",1170,3206.90583641037
